"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\src\main\java\test\AccountPage.java", "Java", 160, 21, 31, 212
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\src\main\java\test\AddDish.java", "Java", 208, 37, 31, 276
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\src\main\java\test\App.java", "Java", 16, 0, 8, 24
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\src\main\java\test\Cart.java", "Java", 60, 7, 13, 80
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\src\main\java\test\Dish.java", "Java", 52, 2, 13, 67
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\src\main\java\test\DishDB.java", "Java", 21, 2, 7, 30
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\src\main\java\test\DishInfo.java", "Java", 85, 16, 19, 120
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\src\main\java\test\FoodImages.java", "Java", 171, 28, 11, 210
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\src\main\java\test\Gift.java", "Java", 27, 1, 9, 37
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\src\main\java\test\GiftCart.java", "Java", 60, 1, 13, 74
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\src\main\java\test\GiftDB.java", "Java", 21, 1, 7, 29
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\src\main\java\test\GiftImages.java", "Java", 88, 1, 12, 101
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\src\main\java\test\GiftInfo.java", "Java", 65, 1, 15, 81
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\src\main\java\test\GiftPage.java", "Java", 88, 17, 21, 126
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\src\main\java\test\HomePage.java", "Java", 88, 1, 16, 105
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\src\main\java\test\LoginPage.java", "Java", 90, 17, 16, 123
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\src\main\java\test\NavigationButtons.java", "Java", 44, 9, 8, 61
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\src\main\java\test\Product.java", "Java", 51, 7, 13, 71
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\src\main\java\test\RegisterPage.java", "Java", 122, 18, 23, 163
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\src\main\java\test\Search.java", "Java", 27, 2, 9, 38
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\src\main\java\test\Tags.java", "Java", 13, 3, 5, 21
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\src\main\java\test\User.java", "Java", 36, 2, 12, 50
"c:\Users\appri\OneDrive - Radboud Universiteit\RD Project\Project 06-06-2024 Hessel\RestFoodRiders\app\src\main\java\test\UserDB.java", "Java", 30, 6, 6, 42
"Total", "-", 1623, 200, 318, 2141
